State,Short Name,Capital City,ZIP Codes
Alabama ,AL,Montgomery,35004;36925
Alaska ,AK,Juneau,99501;99950
Arizona ,AZ,Phoenix,85001;86556
Arkansas ,AR,Little Rock,71601;72959
California ,CA,Sacramento,90001;96162
Colorado ,CO,Denver,80001;81658
Connecticut ,CT,Hartford,06001;06928
Delaware ,DE,Dover,19701;19980
Florida ,FL,Tallahassee,32003;34997
Georgia ,GA,Atlanta,30002;39901
Hawaii ,HI,Honolulu,96701;96898
Idaho ,ID,Boise,83201;83888
Illinois ,IL,Springfield,60001;62999
Indiana ,IN,Indianapolis,46001;47997
Iowa ,IA,Des Moines,50001;52809
Kansas ,KS,Topeka,66002;67954
Kentucky ,KY,Frankfort,40003;42788
Louisiana ,LA,Baton Rouge,70001;71497
Maine ,ME,Augusta,03901;04992
Maryland ,MD,Annapolis,20601;21930
Massachusetts ,MA,Boston,01001;05544
Michigan ,MI,Lansing,48001;49971
Minnesota ,MN,Saint Paul,55001;56763
Mississippi ,MS,Jackson,38601;39776
Missouri ,MO,Jefferson City,63001;65899
Montana ,MT,Helena,59001;59937
Nebraska ,NE,Lincoln,68001;69367
Nevada ,NV,Carson City,88901;89883
New Hampshire ,NH,Concord,03031;03897
New Jersey ,NJ,Trenton,07001;08989
New Mexico ,NM,Santa Fe,87001;88441
New York ,NY,Albany,00501;14925
North Carolina ,NC,Raleigh,27006;28909
North Dakota ,ND,Bismarck,58001;58856
Ohio ,OH,Columbus,43001;45999
Oklahoma ,OK,Oklahoma City,73001;74966
Oregon ,OR,Salem,97001;97920
Pennsylvania ,PA,Harrisburg,15001;19640
Rhode Island ,RI,Providence,02801;02940
South Carolina ,SC,Columbia,29001;29945
South Dakota ,SD,Pierre,57001;57799
Tennessee ,TN,Nashville,37010;38589
Texas ,TX,Austin,73301;88595
Utah ,UT,Salt Lake City,84001;84791
Vermont ,VT,Montpelier,05001;05907
Virginia ,VA,Richmond,20101;24658
Washington ,WA,Olympia,98001;99403
West Virginia ,WV,Charleston,24701;26886
Wisconsin ,WI,Madison,53001;54990
Wyoming ,WY,Cheyenne,82001;83128
