,index,stories
0,lot,365
1,townhouse,325
2,multi/split,271
3,acreage,215
4,condominium,172
5,,172
6,stories/levels,133
7,ranch,127
8,traditional,88
9,mid-rise,78
10,multi-level,57
11,high-rise,31
12,1 and 1 half,25
13,total floors in bldg,22
14,commercial,20
15,garden,20
16,other multi-unit,19
17,farm house,19
18,bungalow,17
19,raised ranch,16
20,site built,16
21,contemporary,15
22,split foyer,14
23,unimproved commercial,13
24,manufactured doublewide,13
25,"1, 2",13
26,cape cod,12
27,", 2",11
28,"site built, split foyer",9
29,", 3",9
30,modular home,8
31,condo,7
32,mo2le,7
33,"1.5, 2",7
34,farm,6
35,", 1",6
36,victorian,6
37,manufactured singlewide,6
38,colonial,4
39,ca2n/cottage,4
40,3plex,4
41,multi-story,3
42,"condo, site built",3
43,live/work,3
44,"2, multi/split",3
45,loft,2
46,"1, 1",1
47,log home,1
48,federal,1
49,"cape, other style",1
50,craftsman,1
51,log,1
52,"multi/split, 2",1
53,chalet,1
54,double wide,1
55,apartments,1
56,"site built, townhouse",1
57,hillside,1
58,tudor,1
59,a frame,1
60,"multi-level, new englander",1
61,"manufactured home, non-site built",1
62,bedroom - split plan,1
63,co-op,1
64,"other, 2, multi/split",1
65,detached,1
66,n1,1
67,"1, 2, multi/split",1
68,patio home,1
